ukf_pos_x,ukf_pos_y,ukf_pos_z,local_pos_x,local_pos_y,local_pos_z
0.00013249874988392697,0.00013535266405096606,0.007840195312131655,0.004307917319238186,0.0033570462837815285,0.008764996193349361
0.00029785671126525155,0.0003043023954478988,0.01762805391938732,0.0042634280398488045,0.003405872965231538,0.008741375058889389
0.00029785671126525155,0.0003043023954478988,0.01762805391938732,0.0042634280398488045,0.003405872965231538,0.008741375058889389
0.000529201444500609,0.0005407719403531272,0.03132847241337347,0.0042634280398488045,0.003405872965231538,0.008741375058889389
0.000529201444500609,0.0005407719403531272,0.03132847241337347,0.0042634280398488045,0.003405872965231538,0.008741375058889389
0.0008263645573366373,0.0008448236570697907,0.048941452362259164,0.003868569154292345,0.0033586500212550163,0.0089574558660388
0.0008263645573366373,0.0008448236570697907,0.048941452362259164,0.003868569154292345,0.0033586500212550163,0.0089574558660388
0.0011892676262454304,0.0012165971175199675,0.07047345893508666,0.003868569154292345,0.0033586500212550163,0.0089574558660388
0.0011892676262454304,0.0012165971175199675,0.07047345893508666,0.0035565532743930817,0.003330974141135812,0.009113199077546597
0.001617735280203439,0.0016559929536539147,0.09592138385694737,0.0035565532743930817,0.003330974141135812,0.009113199077546597
0.001617735280203439,0.0016559929536539147,0.09592138385694737,0.0035565532743930817,0.003330974141135812,0.009113199077546597
0.002111602877726569,0.0021629718141454434,0.12528427298461997,0.0035565532743930817,0.003330974141135812,0.009113199077546597
0.002111602877726569,0.0021629718141454434,0.12528427298461997,0.003262815298512578,0.0033180168829858303,0.009225242771208286
0.0026707878630195855,0.0027376729369734884,0.15856619674721661,0.003262815298512578,0.0033180168829858303,0.009225242771208286
0.0026707878630195855,0.0027376729369734884,0.15856619674721661,0.003262815298512578,0.0033180168829858303,0.009225242771208286
0.0032952167638538032,0.0033802999915024737,0.195769307814323,0.0031367510091513395,0.0033188906963914633,0.009241427294909954
0.0032952167638538032,0.0033802999915024737,0.195769307814323,0.0031367510091513395,0.0033188906963914633,0.009241427294909954
0.003984920277697479,0.004090996548676545,0.23689695613019546,0.0030874162912368774,0.003338488517329097,0.009306438267230988
0.003984920277697479,0.004090996548676545,0.23689695613019546,0.0030874162912368774,0.003338488517329097,0.009306438267230988
0.004739794026444949,0.004869555545353281,0.2819422018860307,0.0030874162912368774,0.003338488517329097,0.009306438267230988
0.004739794026444949,0.004869555545353281,0.2819422018860307,0.0030874162912368774,0.003338488517329097,0.009306438267230988
0.005559853804278862,0.0057158964215531655,0.3309060816303695,0.0031517320312559605,0.0032993329223245382,0.009284221567213535
0.005559853804278862,0.0057158964215531655,0.3309060816303695,0.0031517320312559605,0.0032993329223245382,0.009284221567213535
0.005559853804278862,0.0057158964215531655,0.3309060816303695,0.0031517320312559605,0.0032993329223245382,0.009284221567213535
0.006445036646789297,0.006630106290980556,0.383787236285019,0.0031517320312559605,0.0032993329223245382,0.009284221567213535
0.007395849357995629,0.007612526106743879,0.4405993025062833,0.0031517320312559605,0.0032993329223245382,0.009284221567213535
0.007395849357995629,0.007612526106743879,0.4405993025062833,0.0034604498650878668,0.003069666214287281,0.00915552768856287
0.008414392299400976,0.008664041732813613,0.5013965933520028,0.0034604498650878668,0.003069666214287281,0.00915552768856287
0.008414392299400976,0.008664041732813613,0.5013965933520028,0.003825617954134941,0.0028818922583013773,0.009038168005645275
0.0095058681223779,0.009785570896604895,0.566242705918139,0.003825617954134941,0.0028818922583013773,0.009038168005645275
0.0095058681223779,0.009785570896604895,0.566242705918139,0.003825617954134941,0.0028818922583013773,0.009038168005645275
0.010678017850961508,0.010977330594486245,0.6351712591045344,0.003825617954134941,0.0028818922583013773,0.009038168005645275
0.010678017850961508,0.010977330594486245,0.6351712591045344,0.004482429940253496,0.002685926388949156,0.009215733967721462
0.011943924343770465,0.012238921227513397,0.7081961036563529,0.004482429940253496,0.002685926388949156,0.009215733967721462
0.011943924343770465,0.012238921227513397,0.7081961036563529,0.004482429940253496,0.002685926388949156,0.009215733967721462
0.013321054415402808,0.013569728658213862,0.7853364571141039,0.004482429940253496,0.002685926388949156,0.009215733967721462
0.013321054415402808,0.013569728658213862,0.7853364571141039,0.005240412428975105,0.002573916455730796,0.009793450124561787
0.014833592487997677,0.014968611302716511,0.8666021335781,0.006247767712920904,0.002491140738129616,0.010850928723812103
0.014833592487997677,0.014968611302716511,0.8666021335781,0.006247767712920904,0.002491140738129616,0.010850928723812103
0.01651040739102408,0.016434124492517757,0.9519995468250144,0.006247767712920904,0.002491140738129616,0.010850928723812103
0.01651040739102408,0.016434124492517757,0.9519995468250144,0.006247767712920904,0.002491140738129616,0.010850928723812103
0.018383005041765238,0.017964393154827812,1.0415225353783546,0.007502996362745762,0.002441005315631628,0.012411807663738728
0.018383005041765238,0.017964393154827812,1.0415225353783546,0.007502996362745762,0.002441005315631628,0.012411807663738728
0.020491562929611018,0.019556960654449423,1.1351584671935466,0.007502996362745762,0.002441005315631628,0.012411807663738728
0.020491562929611018,0.019556960654449423,1.1351584671935466,0.007502996362745762,0.002441005315631628,0.012411807663738728
0.022564683075674635,0.02123032427729564,1.2331368757725754,0.009060774929821491,0.002394846174865961,0.014458166435360909
0.022564683075674635,0.02123032427729564,1.2331368757725754,0.009060774929821491,0.002394846174865961,0.014458166435360909
0.024459677919061867,0.02298853015143415,1.3352647099085635,0.009060774929821491,0.002394846174865961,0.014458166435360909
0.024459677919061867,0.02298853015143415,1.3352647099085635,0.010694370605051517,0.002384382765740156,0.017088498920202255
